"Service","Description","Category"
"kTCCServiceLiverpool","Location Services: Allows the application to determine your location.","Critical"
"kTCCServiceUbiquity","Allows the application to access your iCloud data.","Critical"
"kTCCServiceShareKit","Allows the application to access ShareKit services for content sharing.","Critical"
"kTCCServiceSystemPolicyAllFiles","Full Disk Access: Allows the application to access data like Mail, Messages, Safari, Home, Time Machine backups, and certain administrative settings for all users.","Critical"
"kTCCServiceAccessibility","Accessibility: Allows the application to control your computer.","Common"
"kTCCServicePostEvent","Keystroke","Common"
"kTCCServiceListenEvent","Input Monitoring: Allows the application to monitor input from your keyboard even while using other applications.","Common"
"kTCCServiceDeveloperTool","DeveloperTools: Allows the application to run software locally that does not meet the system's security policy.","Common"
"kTCCServiceScreenCapture","Screen & System Audio Recording : Allows the application to record the content of your screen and audio, even while using other applications.","Common"
"kTCCServiceSystemPolicySysAdminFiles","xxx","File Access"
"kTCCServiceSystemPolicyAppData","Allows the application to access data from other apps.","File Access"
"kTCCServiceSystemPolicyAppBundles","xxx","File Access"
"kTCCServiceSystemPolicyDesktopFolder","Allows the application to access Desktop Folder.","File Access"
"kTCCServiceSystemPolicyDeveloperFiles","Allows the application to access Developer Files.","File Access"
"kTCCServiceSystemPolicyDocumentsFolder","Allows the application to access Documents Folder.","File Access"
"kTCCServiceSystemPolicyDownloadsFolder","Allows the application to access Downloads Folder.","File Access"
"kTCCServiceSystemPolicyNetworkVolumes","Allows the application to access Network Volumes.","File Access"
"kTCCServiceAddressBook","Contacts: Allows the application to access your contacts.","Service Access"
"kTCCServiceAppleEvents","Apple Events","Service Access"
"kTCCServiceAudioCapture","Audio Capture","Service Access"
"kTCCServiceUserAvailability","Availability","Service Access"
"kTCCServiceBluetoothAlways","Allows the application to use Bluetooth.","Service Access"
"kTCCServiceCalendar","Allows the application to access your calendars.","Service Access"
"kTCCServiceCamera","Allows the application to access your camera.","Service Access"
"kTCCServiceContactsFull","Contacts Full","Service Access"
"kTCCServiceContactsLimited","Contacts Limited","Service Access"
"kTCCServiceLocation","Current Location","Service Access"
"kTCCServiceEndpointSecurityClient","Endpoint Security","Service Access"
"kTCCServiceFileProviderDomain","Allows the application to access files and folders of a remote storage (e.g. iCloud Drive).","Service Access"
"kTCCServiceFileProviderPresence","File Provider Presence","Service Access"
"kTCCServiceMotion","Motion & Fitness","Service Access"
"kTCCServiceFocusStatus","Allows the application to see and share your Focus status.","Service Access"
"kTCCServicegameCenterFriends","Game Center","Service Access"
"kTCCServiceWillow","Home Data","Service Access"
"kTCCServiceMediaLibrary","Allows the application to access Apple Music, your music and video activity, and your media library.","Service Access"
"kTCCServiceMicrophone","Allows the application to access your microphone.","Service Access"
"kTCCServicePhotos","Allows the application to access your photos.","Service Access"
"kTCCServicePhotosAdd","Photos Add","Service Access"
"kTCCServicePrototype3Rights","Prototype Rights (Version 3)","Service Access"
"kTCCServiceReminders","Allows the application to access your reminders.","Service Access"
"kTCCServiceSystemPolicyRemovableVolumes","Allows the application to access your Removable Volumes","Service Access"
"kTCCServiceSiri","Siri","Service Access"
"kTCCServiceSpeechRecognition","Applications that have requested access to speech recognition. Speech recognition sends recorded voice to Apple to process your requests.","Service Access"
"kTCCServiceWebBrowserPublicKeyCredential","Passkeys Access for Web Browser: Allows the application to see which websites and applications you have saved passkeys for.","Service Access"
